"film","directors","writers","countries"
"Ooty Varai Uravu","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Iti Mrinalini","Aparna","Aparna Sen; Ranjan Ghosh","Bhārat Gaṇarājya; India"
"Tirant lo Blanc","Vicente Aranda Ezquerra","Vicente Aranda","Spain; United Kingdom"
"लक्ष्य","Farhan Akhtar","Javed Akhtar","Bhārat Gaṇarājya; India"
"Jab Tak Hai Jaan","Yash Chopra","Aditya Chopra; Devika Bhagat","Bhārat Gaṇarājya; India"
"The Cay","Patrick Ewart Garland","Theodore Taylor","the United States"
"The Angel with the Trumpet","Anthony Arnatt Bushell","Karl Hartl","United Kingdom"
"Schrammeln","Géza Maria von Bolváry-Zahn","Ernst Marischka","Germany"
"Kempaiah IPS","Venkatappa Somashekhar","V. Somashekhar","Bhārat Gaṇarājya; India"
"Charlie Kay Chakkar Mein","Manish Srivastav","Amit Sial; Manish Srivastav","Bhārat Gaṇarājya; India"
"Edward II","Michael Derek Elworthy Jarman","Derek Jarman","United Kingdom"
"Fragile","Jaume Balagueró i Bernat","Jaume Balagueró","Spain"
"Heartlands","Damien O'Donnell","Paul Fraser","United Kingdom"
"Blondie Takes a Vacation","Frank R. Strayer","Chic Young","the United States"
"Kulirkaala Megangal","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Salma","Chandramauli Chopra","Gulshan Nanda","Bhārat Gaṇarājya; India"
"Sundarimaarude Swapnangal","Kunnesscri Shankar","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Panchathanthram","Nambiathusseril Varkey John","J. Sasikumar","Bhārat Gaṇarājya; India"
"Ek Tha Tiger","Kabir Khan","Kabir Khan; Neelesh Misra","Bhārat Gaṇarājya; India"
"Lalkar","Chandramauli Chopra","Ramanand Sagar","Bhārat Gaṇarājya; India"
"Poovellam Kettuppar","S. M. Vasanth","""Crazy"" Mohan; Crazy Mohan; Vasanth","Bhārat Gaṇarājya; India"
"Karz: The Burden of Truth","Harjaspal Baweja","Anees Bazmee","Bhārat Gaṇarājya; India"
"Pourasham","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Crying Ladies","Edward Mark Afable Meily","Mark Meily","Republika ng Pilipinas; the Philippines"
"Punarjanmam","K. Subrahmanyam Sethumadhavan","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Night of the Bloody Apes","André René Cardona","René Cardona; René Cardona Jr.","Mexico"
"Panchamrutham","Nambiathusseril Varkey John","J. Sasikumar; S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"The Sea Wolf","Mike Barker","Jack London; Nigel Williams","Canada; Germany"
"The Prince and Me","Martha Patterson Coolidge","Katherine Fugate","the United States"
"Sivaji","Shankar Shanmugam","Shankar; Sujatha Rangarajan; Sujatha.","Bhārat Gaṇarājya; India"
"The Fugitive","John Martin Feeney","Dudley Nichols","Mexico"
"Sethubandhanam","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Grey Owl","Richard Samuel Attenborough","William Nicholson","Canada; United Kingdom"
"This Beautiful City","Edward Gass-Donnelly","Ed Gass-Donnelly","Canada"
"Nói Albinói","Dagur Kári Pétursson","Dagur Kári","Iceland; Lýðveldið Ísland"
"Mouth to Mouth","Björn Lennart Runge","Björn Runge","Konungariket Sverige; Sweden"
"Los ambiciosos","Luis Buñuel Portolés","Luis Alcoriza; Luis Buñuel","France; Mexico"
"Stroszek","Werner Herzog Stipetić","Werner Herzog","Germany"
"Tag der Freiheit: Unsere Wehrmacht","Helene Bertha Amalie Riefenstahl","Leni Riefenstahl","Deutsches Reich (1933–43); German Reich; Germany; Großdeutsches Reich (1943–45)"
"Bhookambam","Joshi","Priyadarshan","Bhārat Gaṇarājya; India"
"Jana Nayaka","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Woodchipper Massacre","Jon McBride","Jon McBride","the United States"
"Tentacles","Ovidio Gabriel Assonitis","Steven W. Carabatsos","Italy; the United States"
"Celos","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"Jour de fête","Jacques Tatischeff","Henri Marquet; Jacques Tati; René Wheeler","France"
"Love Mein Ghum","Reema Khan","M. Pervaiz Kaleem; Pervaiz Kaleem","Pakistan"
"Anjaan","Narain Lingusamy","Brinda Sarathy","Bhārat Gaṇarājya; India"
"Iddarammayilatho","Puri Jagannadh","Puri Jagannadh","Bhārat Gaṇarājya; India"
"Manina, the Girl in the Bikini","William Xavier Rozier","Willy Rozier","France"
"Callas Forever","Gianfranco Zeffirelli","Martin Sherman","Spain"
"Sultan","Ali Abbas Zafar","Ali Abbas Zafar","Bhārat Gaṇarājya; India"
"Down House","Roman R. Kachanov","(Роман Романович Качанов); Ivan Okhlobystin; Roman Kachanov; Roman Romanovich Kachanov","Russia"
"Tales from the Dead","Jason Joseph Cuadrado","Jason Cuadrado","the United States"
"The Story of a Three-Day Pass","Melvin Peebles","Melvin Van Peebles","France"
"Bienvenue chez les Ch'tis","Daniel Hamidou","Dany Boon","France"
"At the Beginning of Glorious Days","Sergei Appolinarievich Gerasimov","Sergei Gerasimov","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Sillunu Oru Kaadhal","Krishnan K.T.Nagarajan","Director Krishna","Bhārat Gaṇarājya; India"
"Muniyana Madari","Srinivasa Krishna Iyengar Bhagwan","S. K. Bhagavan; S.K Bhagavan","Bhārat Gaṇarājya; India"
"Kavari Maan","Muthuraman","Panchu Arunachalam","Bhārat Gaṇarājya; India"
"Nithyakanyaka","K. Subrahmanyam Sethumadhavan","Ponkunnam  Varkey; Ponkunnam Varkey; Sreedhar; പൊൻകുന്നം വർക്കി","Bhārat Gaṇarājya; India"
"Walesa. Man of Hope","Andrzej Witold Wajda","Janusz Głowacki","Poland"
"Salvador Allende","Patricio Guzmán Lozanes","Patricio Guzmán","Chile"
"Sitaron Se Aage","Satyen Bose","Satyen Bose","Bhārat Gaṇarājya; India"
"The Fury of Achilles","Marino Girolami","Homer","Italy"
"Underworld","Len Ryan Wiseman","Allison Burnett; Danny McBride; J. Michael Straczynski; Len Wiseman","Canada; Hungary; United Kingdom; the United States"
"Their First Assignment","William Gerald Paris","Barry W. Blaustein; David Sheffield","the United States"
"Farewell (Russian: Прощание), Proshchanie)","Elem Germanovich Klimov","Larisa Shepitko","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Kick-Ass","Matthew Allard Robert Vaughn","Jane Goldman","United Kingdom"
"Citizen Ruth","Constantine Alexander Payne","Alexander Payne; Jim Taylor","the United States"
"El Sur","Carlos Saura Atarés","Carlos Saura","Argentina"
"Special Delivery","Hans Brahm","Dwight Taylor; Géza von Radványi","''; Federal Republic of Germany; West Germany"
"La herida luminosa","José Luis García Muñoz","José Luis Garci","Spain"
"Ithu Engal Neethi","S.A. Chandrasekar","S. A. Chandrasekhar","Bhārat Gaṇarājya; India"
"Vedalam","Sivakumar Jayakumar","Siva","Bhārat Gaṇarājya; India"
"Galaxy Invader","Donald Michael Dohler","Don Dohler","the United States"
"என் வீடு","Vuppaladadiyam Nagaiah","Devulapalli Krishnasastri; Devulapalli Venkata Krishnasastri","Bhārat Gaṇarājya; India"
"Lakshya","Farhan Akhtar","Javed Akhtar","Bhārat Gaṇarājya; India"
"The First Born","Lionel Henry Mander","Alma Reville; Miles Mander","United Kingdom"
"Jules and Jim","François Roland Truffaut","François Truffaut","France"
"Yeh Teraa Ghar Yeh Meraa Ghar","Priyadarshan Soman Nair","Neeraj Vora","Bhārat Gaṇarājya; India"
"Dr Kotnis ki Amar Kahani (The Immortal Tale of Dr. Kotnis)","Shantaram Rajaram Vankudre","Khwaja Ahmad Abbas; Khwaja Ahmad Abbas / K. A. Abbas","Bhārat Gaṇarājya; India"
"Hindustan Ki Kasam","Veeru Devgan","Veeru Devgan","Bhārat Gaṇarājya; India"
"Rainbow","Robert William Hoskins","Ashley Sidaway; Robert Sidaway","Canada"
"Madu Tiga","Teuku Zakaria bin Teuku Nyak Puteh","P. Ramlee","Malaysia"
"Taxi Car","Pattathil Venugopalan Menon","P. Venu","Bhārat Gaṇarājya; India"
"Ayat-Ayat Cinta","Setiawan Hanung Bramantyo","Salman Aristo; Salmon Aristo","Indonesia; Republik Indonesia"
"The Hell with Heroes","Giuseppe Danielle Sorgente","Harold Livingston","the United States"
"Bambuti","Bernhard Klemens Maria Hoffbauer Pius Grzimek","Bernhard Grzimek","''; Federal Republic of Germany; West Germany"
"Critters","Stephen Robert Herek","Don Keith Opper","the United States"
"Spin Out","Timothy Dorcen Langbene Ferguson","Tim Ferguson","Australia"
"Simon of the Desert","Luis Buñuel Portolés","Luis Buñuel","Mexico"
"Phagun","Rajinder Singh Bedi","Rajinder Singh Bedi","Bhārat Gaṇarājya; India"
"صراع في الميناء","Youssef Gabriel Chahine","Youssef Chahine","Egypt"
"Beethoven Lives Upstairs","David Devine","Heather Conkie","Canada"
"Moordwijven","Dick Herman Willem Maas","Dick Maas","the Netherlands"
"Thaai Mookaambikai","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"The Terminal Man","Michael Tommy Hodges","Mike Hodges","the United States"
"Nirai Kudam","Venkatachary Srinivasan","Cho Ramaswamy","Bhārat Gaṇarājya; India"
"As White as in Snow","Jan Gustaf Troell","Jan Troell","Konungariket Sverige; Sweden"
"Chakkara Muthu","Ambazhathil Karunakaran Lohithadas","A. K. Lohithadas","Bhārat Gaṇarājya; India"
"491","David Harald Vilgot Sjöman","Vilgot Sjöman","Konungariket Sverige; Sweden"
"Jeene Ki Raah (1969)","Akkineni Lakshmi Vara Prasada Rao","Anand Bakshi; L. V. Prasad","Bhārat Gaṇarājya; India"
"The Private Lives of Elizabeth and Essex","Mihaly Kertesz","Norman Reilly Raine; Æneas MacKenzie","the United States"
"Defiance","Edward M. Zwick","Edward Zwick","Lithuania; the United States"
"The Cure for Love","Friedrich Robert Donat","Albert Fennell; Robert Donat; Walter Greenwood","United Kingdom"
"Awaara","Ranbir Raj Kapoor","Khwaja Ahmad Abbas; Khwaja Ahmad Abbas / K. A. Abbas","Bhārat Gaṇarājya; India"
"Europe '51","Roberto Gastone Zeffiro Rossellini","Brunello Rondi; Ivo Perilli; Roberto Rossellini","Italy"
"Where The Heart Is","Matthew Williams","Babaloo Mandel; Lowell Ganz","the United States"
"Prison Song","Darnell Martin","Darnell Martin","the United States"
"Hiya Diya Niya","Munin Barua","Munin Barua","Bhārat Gaṇarājya; India"
"They Came to a City","Basil Clive Dear","Basil Dearden; Sidney Cole","United Kingdom"
"The Day the Fish Came Out","Michalis Kakoyiannis","Michael Cacoyannis","Greece"
"Fierce People","Thomas Griffin Dunne","Dirk Wittenborn","Canada"
"Pippi Longstocking","Nils Olof Hellbom","Astrid Lindgren","''; Federal Republic of Germany; Konungariket Sverige; Sweden; West Germany"
"Peshavar Waltz","Timur Nuruakhitovich Bekmambetov","Timur Bekmambetov","Russia"
"The Grandfather","Román Viñoly Barreto","Benito Pérez Galdós; Emilio Villalba Welsh","Argentina"
"Kodimalar","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar; Chitralaya Gopu","Bhārat Gaṇarājya; India"
"The Devil's Brigade","Andrew Victor McLaglen","William Roberts","the United States"
"Dark Tower","Frederick William Francis","Ken Blackwell; Ken Wiederhorn; Robert J. Avrech","Spain"
"La Terra Trema","Luchino Visconti di Modrone","Antonio Pietrangeli; Luchino Visconti","Italy"
"Todas las azafatas van al cielo","Daniel Burman","Daniel Burman; Emiliano Torres","Argentina; Spain"
"Far from the Madding Crowd","Laurence Norwood Trimble","Laurence Trimble","United Kingdom"
"Top Hat","Mark Rex Goldstein","Allan Scott; Ben Holmes; Dwight Taylor; Ralph Spence","the United States"
"Nivedyam","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Saat Hindustani","Khwaja Ahmad Abbas","Khwaja Ahmad Abbas; Khwaja Ahmad Abbas / K. A. Abbas","Bhārat Gaṇarājya; India"
"Kuttichaathan","K. Velayudan Nair","Kakkanadan","Bhārat Gaṇarājya; India"
"Alibaba","Mehboob Khan Ramzan Khan","Zia Sarhadi","Bhārat Gaṇarājya; India"
"Angam","Joshi","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Mujhe Meri Biwi Se Bachaao","Harjaspal Baweja","Anees Bazmee; Harry Baweja","Bhārat Gaṇarājya; India"
"Triumph Over Violence","Mikhail Ilych Romm; Михаил Ильич Ромм","Mikhail Romm; Михаил Ромм","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Paroma","Aparna","Aparna Sen","Bhārat Gaṇarājya; India"
"Ellindalo Bandavaru","Palyada Lankeshappa","P. Lankesh","Bhārat Gaṇarājya; India"
"Slipstream","Philip Anthony Hopkins","(CBE); Anthony Hopkins; Sir Anthony Hopkins","the United States"
"Triangle","Christopher Smith","Christopher Smith","Australia"
"Vishukkani","Nambiathusseril Varkey John","Sreekumaran Thampi","Bhārat Gaṇarājya; India"
"Dear Alice","Othman Karim","Othman Karim; Othman Karim aka Osmond Karim","Konungariket Sverige; Sweden"
"Arekti Premer Golpo","Kaushik Ganguly","Kaushik Ganguly","Bhārat Gaṇarājya; India"
"Home Alone 2: Lost in New York","Chris Joseph Columbus","John Hughes","the United States"
"The Appointment","Sidney Arthur Lumet","James Salter","the United States"
"Thala 57","Sivakumar Jayakumar","Siva","Bhārat Gaṇarājya; India"
"Hosa Jeevana","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"A Thousand Clouds of Peace","Julián Hernández Pérez","Julián Hernández","Mexico"
"Mindhunters","Lauri Mauritz Harjola","Ehren Kruger; Wayne Kramer","the Netherlands; the United States"
"The Wishing Tree","Tengiz Abuladze","Tengiz Abuladze","Georgian Soviet Army; Georgian Soviet Socialist Republic; Грузинская Советская Социалистическая Республика Gruzinskaya Sovetskaya Sotsialisticheskaya Respublika; საქართველოს საბჭოთა სოციალისტური რესპუბლიკა"
"Anubavam Pudhumai","Chithamur Vijayaraghavulu Rajendran","Chitralaya Gopu","Bhārat Gaṇarājya; India"
"Coming to America","John David Landis","Barry W. Blaustein; David Sheffield","the United States"
"प्रहार","Vishwanath Patekar","Hriday Lani; Nana Patekar","Bhārat Gaṇarājya; India"
"Paris Qui Dort","René-Lucien Chomette","René Clair","France"
"Myna has gone","Fuensanta-Sonia Escolano Pujante","Sonia Escolano","Spain"
"The Lady and the Hooligan","Vladimir Vladimirovich Mayakovsky","Vladimir Mayakovsky","Russia"
"Spotlight","Thomas Joseph McCarthy","Josh Singer","the United States"
"Their Son","Joseph Otto Mandel","Angus MacPhail","Germany"
"Dasavatharam","K. S. Ravikumar","Kamal Haasan; Sujatha Rangarajan; Sujatha.","Bhārat Gaṇarājya; India"
"The Hard Case","Guy Stuart Ritchie","Guy Ritchie","United Kingdom"
"Interview","Nambiathusseril Varkey John; Theodoor van Gogh","Hans Teeuwen; S. L. Puram Sadanandan; Theodor Holman","Bhārat Gaṇarājya; India; the Netherlands"
"Sautela Bhai","Roshan Lal Sharma","B. R. Ishara","Bhārat Gaṇarājya; India"
"Abuso de confianza","Mario C. Lugones","Julio Porter; Pierre Wolff","Argentina"
"Star Odyssey","Alfonso Brescia","Alfonso Brescia","Italy"
"Beauty and the Bestie","Edwin Villanes Deramas","Direk Wenn; Wenn V. Deramas","Republika ng Pilipinas; the Philippines"
"Tyler Perry's Meet the Browns","Emmitt Perry Jr.","Tyler Perry","the United States"
"Army of Shadows","Jean-Pierre Grumbach","Jean-Pierre Melville","France; Italy"
"Mukti","Pramatesh Chandra Barua","Pramathesh Barua; Prathmesh Barua","Bhārat Gaṇarājya; India"
"I Am Cuba","Mikheil Konstantinovich Kalatozishvili","Yevgeny Yevtushenko","Cuba; Soviet Union (USSR); Union of Soviet Socialist Republics"
"Pyaasa","Vasanth Kumar Shivashankar Padukone","Abrar Alvi; अबरार अलवी","Bhārat Gaṇarājya; India"
"The Smurfs","Raja Raymond Gosnell","David N. Weiss","the United States"
"Swing Shift","Robert Jonathan Demme","Bo Goldman; Nancy Dowd; Ron Nyswaner","the United States"
"Once Upon a Time in High School","Kim Young-joon","Yoo Ha","South Korea"
"The Arrival","David Neil Twohy","David Twohy","Mexico"
"Bert - Den siste oskulden","Hans Christian Tomas Alfredson","Anders Jacobsson; Michael Hjorth; Sören Olsson","Konungariket Sverige; Sweden"
"The Wind That Shakes the Barley","Kenneth Charles Loach","Paul Laverty","Great Britain and Ireland; Ireland; United Kingdom; United Kingdom of"
"Bommalata - A belly full of dreams","Kovelamudi Prakash Rao","J. K. Bharavi","Bhārat Gaṇarājya; India"
"Guri","Vasudevan Peethambaram","P. Vasu","Bhārat Gaṇarājya; India"
"Juarez","Wilhelm Dieterle","John Huston; Wolfgang Reinhardt; Æneas MacKenzie","the United States"
"Manu Needhi","Thambi Ramaiah Jagannathapillai","Thambi Ramaiah","Bhārat Gaṇarājya; India"
"susana grillo demonio y carne","Luis Buñuel Portolés","Luis Buñuel","Mexico"
"Munafik","Mohd Syamsul Bin Mohd Yusof","Syamsul Yusof","Malaysia"
"Os Trapalhões e o Mágico de Oróz","Manfried Sant'Anna","Renato Aragão","Brazil"
"Shame","Ernst Ingmar Bergman","Ingmar Bergman","Konungariket Sverige; Sweden"
"Separate We Come, Separate We Go","Bonnie Francesca Wright","Bonnie Wright","United Kingdom"
"Colour Me Kubrick: A True...ish Story","Brian William Cook","Anthony Frewin","France"
"Kärleksön","Joseph William Sarno","Joseph W. Sarno","Konungariket Sverige; Sweden"
"Mooru Janma","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"I'll Do Anything","James Lawrence Brooks","James L. Brooks","the United States"
"Bhool Bhulaiyaa","Priyadarshan Soman Nair","Neeraj Vora","Bhārat Gaṇarājya; India"
"Der rote Kreis","Jürgen Schellack","Egon Eis; Wolfgang Menge","''; Denmark; Federal Republic of Germany; West Germany"
"Manoranjan","Shamsher Raj Kapoor","Abrar Alvi; अबरार अलवी","Bhārat Gaṇarājya; India"
"Death of Evil","Damian Robert Chapa","Damian Chapa","the United States"
"Angela","Edward Vance Flanagan","Dennis O'Keefe","Italy; the United States"
"Men with Guns","John Thomas Sayles","John Sayles","the United States"
"Sinhagad","Shantaram Rajaram Vankudre","Baburao Pendharkar","Bhārat Gaṇarājya; India"
"Take My Eyes","Icíar Bollaín Pérez-Mínguez","Icíar Bollaín","Spain"
"Mochanam","Thoppil Bhaskara Pillai","Kakkanadan; Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Manini","K. Subrahmanyam Sethumadhavan","K. S. Sethumadhavan","Bhārat Gaṇarājya; India"
"Kabul Express","Kabir Khan","Kabir Khan","Bhārat Gaṇarājya; India"
"Cloak and Dagger","Friedrich Christian Anton Lang","Albert Maltz; Corey Ford; John Larkin; Ring Lardner","the United States"
"There Will Be No Leave Today","Andrei Arsenyevich Tarkovsky","Andrei Tarkovsky","Soviet Union (USSR); Union of Soviet Socialist Republics"
"The Best of Times","Donald Leo Mischer","Bob Arnott","the United States"
"Brahmachari","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Ratas, Ratones, Rateros","Sebastián Cordero Espinosa","Sebastián Cordero; Sebastián Cordero Espinosa","Ecuador"
"Mukunthetta Sumitra Vilikkunnu","Priyadarshan Soman Nair","Sreenivasan","Bhārat Gaṇarājya; India"
"The Command","Masoud Kimiai","Masoud Kimiai","Iran"
"Poet Anderson: The Dream Walker","Thomas Matthew Delonge Jr.","Tom DeLonge","Portugal; the United States"
"Island Dreams","Gino Martin Martinez Santos","Aloy Adlawan","Republika ng Pilipinas; the Philippines"
"Boom!","Joseph Walton Losey III","Tennessee Williams","United Kingdom"
"Two for the Money","Daniel John Caruso, Jr.","Dan Gilroy","the United States"
"Varadakshina","Nambiathusseril Varkey John","J. Sasikumar; Kakkanadan","Bhārat Gaṇarājya; India"
"Ginger & Rosa","Charlotte Sally Potter","Sally Potter","United Kingdom"
"(Signore e signori buonanotte)","Giovanni Loi; Ugo Mattone","Agenore Incrocci; Ettore Scola; Furio Scarpelli; Leonardo Benvenuti; Luigi Comencini; Luigi Magni; Mario Monicelli; Nanni Loy; Piero De Bernardi; Ruggero Maccari; Ugo Pirro","Italy"
"The Flesh and the Fiends","John Gilling","Leon Griffiths","United Kingdom"
"Zare","Ambartsum Beknazaryan","Hamo Beknazarian","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Sarraounia","Mohamed Abid Hondo","Abdoulaye Mamani; Med Hondo","Mauritania"
"Periyanna","S.A. Chandrasekar","S. A. Chandrasekhar","Bhārat Gaṇarājya; India"
"Dusha","Alexander Borisovich Stefanovich","Alexander Borodyansky; Alexander Stefanovich","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Kyon Ki","Priyadarshan Soman Nair","Neeraj Vora; Priyadarshan","Bhārat Gaṇarājya; India"
"The Sea","Baltasar Kormákur Samper","Baltasar Kormákur","France; Iceland; Lýðveldið Ísland; Norway"
"Bulgaran is Gallant","Vasil Dimov Hadzhigendov (Васил Димов Хаджигендов)","Vasil Gendov; Vassil Gendov","Bulgaria"
"The Head of Janus","Friedrich Wilhelm Plumpe","Hans Janowitz; Robert Louis Stevenson","Deutsches Reich; German Reich; Weimar Republic"
"Sweet Mama","Edward Francis Cline","Earl Baldwin","the United States"
"Crazy","Heddy Honigmann","Heddy Honigmann","the Netherlands"
